feedback_id,date,user_id,feedback_type,content,priority,status
FB0001,2026-01-08,U040,界面体验,侧边栏可以收起很方便,低,已解决
FB0002,2026-01-01,U047,界面体验,界面很简洁，很喜欢,低,处理中
FB0003,2026-01-05,U023,功能建议,建议增加API接口,低,处理中
FB0004,2026-01-13,U005,功能建议,希望增加项目模板市场,低,处理中
FB0005,2026-01-08,U025,界面体验,侧边栏可以收起很方便,低,处理中
FB0006,2026-01-06,U036,功能建议,建议增加OKR管理,中,处理中
FB0007,2026-01-01,U011,功能建议,希望支持自定义字段,中,已解决
FB0008,2026-01-06,U034,功能建议,建议增加工作流自动化,中,已解决
FB0009,2026-01-08,U038,界面体验,设计很现代,低,已解决
FB0010,2026-01-14,U020,功能建议,建议增加OKR管理,中,处理中
FB0011,2026-01-28,U037,性能问题,移动端滚动不流畅,高,待处理
FB0012,2026-01-24,U041,功能问题,任务筛选条件不够丰富,高,已解决
FB0013,2026-01-26,U040,功能问题,无法导出项目数据,高,处理中
FB0014,2026-01-26,U034,性能问题,图片加载慢,高,处理中
FB0015,2026-01-28,U022,性能问题,数据统计页面加载慢,高,已解决
FB0016,2026-01-20,U007,功能建议,希望支持第三方集成（如Slack）,低,处理中
FB0017,2026-01-21,U043,功能问题,搜索功能找不到已完成的任务,高,待处理
FB0018,2026-01-26,U010,性能问题,大量任务时看板卡顿,高,已解决
FB0019,2026-01-15,U030,功能建议,建议增加知识库功能,中,处理中
FB0020,2026-01-28,U014,性能问题,移动端滚动不流畅,中,处理中
FB0021,2026-01-26,U033,性能问题,通知推送有延迟,高,待处理
FB0022,2026-01-28,U022,功能问题,无法批量删除任务,中,处理中
FB0023,2026-01-26,U020,功能问题,文件上传失败，没有错误提示,中,处理中
FB0024,2026-01-21,U032,功能建议,希望支持第三方集成（如Slack）,低,待处理
FB0025,2026-01-17,U042,性能问题,文件上传速度慢,中,处理中
FB0026,2026-01-28,U030,功能问题,任务筛选条件不够丰富,高,处理中
FB0027,2026-01-23,U007,性能问题,搜索响应时间长,高,待处理
FB0028,2026-01-23,U044,功能问题,无法批量修改任务状态,中,已解决
FB0029,2026-01-24,U032,性能问题,图片加载慢,中,待处理
FB0030,2026-01-19,U002,功能问题,文件上传失败，没有错误提示,低,待处理
FB0031,2026-01-26,U037,功能问题,无法设置任务依赖关系,中,已解决
FB0032,2026-01-25,U032,功能建议,建议增加AI智能提醒,中,处理中
FB0033,2026-01-22,U035,功能建议,希望支持离线模式,中,待处理
FB0034,2026-01-17,U034,功能建议,希望增加视频会议集成,低,处理中
FB0035,2026-01-20,U032,性能问题,文件上传速度慢,高,处理中
FB0036,2026-01-20,U006,功能问题,任务筛选条件不够丰富,高,已解决
FB0037,2026-01-17,U021,功能建议,希望支持自定义字段,中,已解决
FB0038,2026-01-21,U041,功能问题,看板视图无法自定义列,低,已解决
FB0039,2026-01-17,U017,性能问题,通知推送有延迟,高,已解决
FB0040,2026-01-15,U021,功能建议,希望支持多语言,中,待处理
FB0041,2026-02-07,U037,功能问题,看板拖拽功能在移动端不太好用,中,处理中
FB0042,2026-02-03,U056,界面体验,动画效果很流畅,低,待处理
FB0043,2026-02-04,U017,界面体验,错误提示很清晰,低,已解决
FB0044,2026-02-08,U063,界面体验,动画效果很流畅,低,已解决
FB0045,2026-02-02,U036,功能建议,建议增加团队绩效分析,低,待处理
FB0046,2026-02-09,U007,功能问题,无法导入其他工具的数据,低,已解决
FB0047,2026-02-06,U013,界面体验,夜间模式很实用,低,已解决
FB0048,2026-02-05,U066,功能建议,建议增加团队绩效分析,低,待处理
FB0049,2026-02-02,U033,功能建议,建议增加时间追踪功能,低,已解决
FB0050,2026-02-10,U045,界面体验,操作很直观，上手快,低,待处理
FB0051,2026-02-09,U041,界面体验,加载动画很有趣,低,已解决
FB0052,2026-02-01,U087,功能建议,建议增加团队绩效分析,低,待处理
FB0053,2026-02-07,U033,功能问题,无法导出项目数据,中,已解决
FB0054,2026-02-11,U089,界面体验,快捷键很实用,低,待处理
FB0055,2026-02-03,U059,功能问题,任务筛选条件不够丰富,中,已解决
FB0056,2026-02-03,U037,界面体验,侧边栏可以收起很方便,低,已解决
FB0057,2026-01-31,U042,界面体验,侧边栏可以收起很方便,低,已解决
FB0058,2026-01-29,U047,功能问题,项目模板功能需要增强,低,已解决
FB0059,2026-01-30,U031,功能问题,任务时间统计不准确,中,已解决
FB0060,2026-02-06,U084,界面体验,夜间模式很实用,低,已解决
FB0061,2026-02-04,U036,界面体验,设计很现代,低,已解决
FB0062,2026-02-03,U030,功能建议,建议增加报表定制功能,低,待处理
FB0063,2026-02-03,U035,功能建议,希望增加资源管理功能,低,已解决
FB0064,2026-02-10,U044,功能问题,任务时间统计不准确,低,处理中
FB0065,2026-02-02,U022,功能建议,希望支持自定义字段,低,已解决
FB0066,2026-02-02,U039,功能问题,无法导入其他工具的数据,中,已解决
FB0067,2026-01-31,U031,功能问题,团队日历功能缺失,低,已解决
FB0068,2026-02-07,U040,界面体验,颜色搭配很舒服,低,待处理
FB0069,2026-02-06,U055,功能问题,无法设置任务依赖关系,中,处理中
FB0070,2026-02-03,U017,功能问题,任务评论无法编辑,低,处理中
FB0071,2026-01-30,U050,功能问题,任务评论无法编辑,中,已解决
FB0072,2026-01-30,U005,功能建议,建议增加知识库功能,低,已解决
FB0073,2026-02-04,U060,功能问题,文件上传失败，没有错误提示,低,处理中
FB0074,2026-02-08,U039,功能建议,希望增加资源管理功能,低,待处理
FB0075,2026-02-02,U057,功能建议,建议增加报表定制功能,低,待处理
FB0076,2026-02-24,U138,界面体验,字体大小合适,低,已解决
FB0077,2026-02-12,U033,功能建议,建议增加版本控制,低,已解决
FB0078,2026-02-19,U006,功能建议,建议增加API接口,低,待处理
FB0079,2026-02-13,U044,界面体验,提示信息很友好,低,已解决
FB0080,2026-02-16,U033,界面体验,夜间模式很实用,低,待处理
FB0081,2026-02-24,U020,功能建议,希望增加视频会议集成,低,待处理
FB0082,2026-02-21,U060,界面体验,图标设计很精美,低,待处理
FB0083,2026-02-25,U089,界面体验,快捷键很实用,低,待处理
FB0084,2026-02-25,U009,界面体验,动画效果很流畅,低,已解决
FB0085,2026-02-23,U050,界面体验,侧边栏可以收起很方便,低,待处理
FB0086,2026-02-13,U021,功能建议,建议增加OKR管理,低,已解决
FB0087,2026-02-22,U131,功能建议,希望增加项目模板市场,低,待处理
FB0088,2026-02-14,U011,功能建议,希望增加项目模板市场,低,已解决
FB0089,2026-02-23,U014,功能建议,建议增加AI智能提醒,低,已解决
FB0090,2026-02-24,U056,界面体验,界面很简洁，很喜欢,低,待处理
FB0091,2026-02-14,U009,功能建议,建议增加OKR管理,低,已解决
FB0092,2026-02-16,U042,界面体验,动画效果很流畅,低,待处理
FB0093,2026-02-24,U096,功能建议,建议增加团队绩效分析,低,已解决
FB0094,2026-02-22,U049,功能建议,希望增加资源管理功能,低,已解决
FB0095,2026-02-25,U029,功能建议,建议增加工作流自动化,低,待处理
FB0096,2026-02-23,U044,界面体验,提示信息很友好,低,待处理
FB0097,2026-02-18,U142,界面体验,界面很简洁，很喜欢,低,已解决
FB0098,2026-02-12,U081,功能建议,建议增加AI智能提醒,低,待处理
FB0099,2026-02-15,U072,功能建议,希望支持自定义字段,低,待处理
FB0100,2026-02-17,U098,界面体验,颜色搭配很舒服,低,待处理
